Date,Time,esteira0,esteira1,esteira2
25/11/2024,13:47:18,-,51,-
25/11/2024,13:47:09,-,-,9282
25/11/2024,13:46:42,-,15,-
25/11/2024,13:45:57,-,-,3855
25/11/2024,13:45:47,-,-,4261
25/11/2024,13:45:15,-,-,423
25/11/2024,13:45:04,4,-,-
25/11/2024,13:45:04,-,115,-
25/11/2024,13:44:54,3,-,-
25/11/2024,13:44:46,2,-,-
25/11/2024,13:44:37,1,-,-
25/11/2024,13:44:37,-,30,-
25/11/2024,13:43:54,-,-,11943
25/11/2024,13:42:57,-,-,11897
25/11/2024,13:42:48,4,-,-
25/11/2024,13:42:48,-,28,-
25/11/2024,13:42:38,3,-,-
25/11/2024,13:42:38,-,178,-
25/11/2024,13:42:29,2,-,-
25/11/2024,13:42:29,-,-,10289
25/11/2024,13:42:18,1,-,-
25/11/2024,13:41:23,-,240,-
25/11/2024,13:41:05,-,-,12330
25/11/2024,13:40:46,4,-,-
25/11/2024,13:40:46,-,72,-
25/11/2024,13:40:37,3,-,-
25/11/2024,13:40:27,2,-,-
25/11/2024,13:40:19,1,-,-
25/11/2024,13:38:39,-,97,-
25/11/2024,13:38:09,4,-,-
25/11/2024,13:38:00,3,-,-
25/11/2024,13:37:51,2,-,-
25/11/2024,13:37:41,1,-,-
